actual,proposed
0.0,32.40570831298828
0.0,31.063941955566406
0.0,29.822097778320312
0.0,28.558931350708008
0.0,27.77503776550293
0.0,27.226356506347656
0.0,26.745250701904297
0.0,25.327903747558594
0.0,24.82671546936035
0.0,24.121240615844727
0.0,23.64141845703125
0.0,22.954683303833008
0.0,22.7573299407959
0.0,21.913843154907227
0.0,21.451974868774414
0.0,20.780858993530273
0.0,19.936445236206055
0.0,19.590646743774414
0.0,19.287883758544922
0.0,19.023088455200195
0.0,18.791799545288086
0.0,18.05797576904297
0.0,17.692543029785156
0.0,16.559633255004883
0.0,15.326351165771484
0.0,14.659615516662598
0.0,14.07288646697998
0.0,13.290703773498535
0.0,11.993191719055176
0.0,11.207770347595215
0.0,10.123876571655273
0.0,9.182380676269531
0.0,8.492510795593262
0.0,8.416770935058594
0.0,8.337188720703125
0.0,7.862186908721924
0.0,7.339949607849121
0.0,7.1255950927734375
0.0,6.9375786781311035
0.0,7.038849353790283
0.0,6.320167064666748
0.0,6.1053147315979
0.0,5.916747093200684
0.0,5.21927547454834
0.0,4.352479457855225
0.0,4.134200096130371
0.0,4.142568111419678
0.0,4.596613883972168
0.0,4.718441486358643
0.0,4.561030864715576
0.0,4.563101291656494
0.0,4.565936088562012
0.0,4.303396701812744
0.0,3.9465584754943848
0.0,4.038499355316162
0.0,2.916361093521118
0.0,1.024962306022644
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.9659143090248108
0.0,2.283578395843506
0.0,3.573984146118164
0.0,5.106476306915283
0.0,9.011638641357422
0.0,11.186162948608398
0.0,13.486106872558594
0.0,15.364989280700684
0.0,17.152379989624023
0.0,20.589801788330078
0.0,22.4179744720459
0.0,24.021228790283203
0.0,26.964641571044922
0.0,30.924819946289062
0.0,32.29225540161133
0.0,33.76979446411133
0.0,34.938575744628906
0.0,35.974891662597656
0.0,37.34968948364258
0.0,37.72510528564453
0.0,38.62598419189453
0.0,39.00566101074219
0.0,39.61153030395508
0.0,40.011085510253906
0.0,40.634605407714844
0.0,41.049842834472656
0.0,41.421268463134766
0.0,41.48798751831055
0.0,41.876468658447266
0.0,43.6412353515625
0.0,44.38262939453125
0.0,45.10035705566406
0.0,45.15436553955078
0.0,45.081199645996094
0.0,45.598934173583984
0.0,45.755191802978516
0.0,47.01778793334961
0.0,46.86962890625
0.0,46.49209976196289
0.0,46.444068908691406
0.0,46.14079284667969
0.0,45.75215148925781
0.0,45.289432525634766
0.0,45.15558624267578
0.0,44.7763671875
0.0,44.05447006225586
0.0,43.70201110839844
0.0,43.12956237792969
0.0,42.23680877685547
0.0,39.94438934326172
0.0,37.680233001708984
0.0,36.016788482666016
0.0,35.118133544921875
0.0,33.898704528808594
0.0,33.13323211669922
0.0,32.49562454223633
0.0,32.171234130859375
0.0,31.281192779541016
0.0,29.653230667114258
0.0,28.387226104736328
0.0,25.956281661987305
0.0,23.854764938354492
0.0,21.3576717376709
0.0,17.18416976928711
0.0,11.249273300170898
0.0,9.017940521240234
0.0,3.4270777702331543
0.0,1.370933175086975
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.4802204370498657
0.0,4.868635654449463
0.0,8.351532936096191
0.0,12.856466293334961
0.0,16.513975143432617
0.0,22.533096313476562
0.0,25.43041229248047
0.0,28.77605438232422
0.0,31.173601150512695
0.0,33.294456481933594
0.0,35.17117691040039
0.0,36.83247756958008
0.0,37.50556564331055
0.0,38.5244026184082
0.0,39.1623649597168
0.0,39.60661315917969
0.0,39.361228942871094
0.0,39.162960052490234
0.0,39.13224411010742
0.0,39.09348678588867
0.0,39.349754333496094
0.0,38.642127990722656
0.0,38.9907341003418
0.0,38.74390411376953
0.0,38.67021942138672
0.0,38.343299865722656
0.0,38.436344146728516
0.0,38.68135070800781
0.0,39.559967041015625
0.0,39.91990661621094
0.0,40.53096389770508
0.0,41.05646896362305
0.0,41.38489532470703
0.0,41.9454345703125
0.0,42.0388298034668
0.0,42.265907287597656
0.0,42.390586853027344
0.0,42.46420669555664
0.0,41.345733642578125
0.0,40.51897430419922
0.0,38.6011962890625
0.0,38.01008605957031
0.0,37.492103576660156
0.0,35.97447204589844
0.0,34.93232727050781
0.0,33.83454895019531
0.0,32.33608627319336
0.0,31.751211166381836
0.0,31.238056182861328
0.0,30.788183212280273
0.0,30.394147872924805
0.0,28.985212326049805
0.0,27.772253036499023
0.0,23.783109664916992
0.0,21.660707473754883
0.0,20.208892822265625
0.0,17.332622528076172
0.0,12.256199836730957
0.0,9.8667631149292
0.0,7.771750450134277
0.0,4.9983344078063965
0.0,0.6444389820098877
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.7099494934082031
0.0,4.469390869140625
0.0,7.424843788146973
0.0,10.413652420043945
0.0,13.166147232055664
0.0,16.11639976501465
0.0,19.101482391357422
0.0,21.851619720458984
0.0,24.268579483032227
0.0,28.925045013427734
0.0,30.761655807495117
0.0,34.90846252441406
0.0,36.70021057128906
0.0,38.14635467529297
0.0,39.427513122558594
0.0,41.57023239135742
0.0,42.996131896972656
