actual,proposed
-0.2030028998851776,-0.10742371529340744
-0.20395585894584656,-0.09631827473640442
-0.20395585894584656,-0.09654384106397629
-0.21461404860019684,-0.0981333777308464
-0.21511192619800568,-0.10302030295133591
-0.21560978889465332,-0.10349833965301514
-0.216605544090271,-0.1042170524597168
-0.21710340678691864,-0.10493908822536469
-0.21809916198253632,-0.10518030822277069
-0.20324808359146118,-0.10638979077339172
-0.1600855439901352,-0.07826636731624603
-0.16044935584068298,-0.07862252742052078
-0.16117694973945618,-0.07880079746246338
-0.17954115569591522,-0.07880079746246338
-0.1799464076757431,-0.08837743103504181
-0.18075689673423767,-0.08937760442495346
-0.18116213381290436,-0.08977928757667542
-0.14273136854171753,-0.0899805799126625
-0.14336711168289185,-0.07105016708374023
-0.14432071149349213,-0.07232243567705154
-0.1452743113040924,-0.0732845738530159
-0.15144950151443481,-0.0774095207452774
-0.1527549922466278,-0.07875574380159378
-0.15536600351333618,-0.08011356741189957
-0.15699787437915802,-0.08303667604923248
-0.14560621976852417,-0.08478110283613205
-0.14740370213985443,-0.07959986478090286
-0.15099866688251495,-0.08140146732330322
-0.15309572219848633,-0.08573570102453232
-0.15650251507759094,-0.08828730136156082
-0.1586131751537323,-0.09146926552057266
-0.16343751549720764,-0.09270291775465012
-0.16615121066570282,-0.09697548300027847
-0.21907706558704376,-0.10338563472032547
-0.2222062647342682,-0.13632072508335114
-0.22846461832523346,-0.1419714242219925
-0.2319849133491516,-0.14597035944461823
-0.27835947275161743,-0.15492139756679535
-0.28113776445388794,-0.18775007128715515
-0.28391605615615845,-0.19149841368198395
-0.2871573567390442,-0.19559921324253082
-0.29039862751960754,-0.20006588101387024
-0.3088887631893158,-0.2176108956336975
-0.3141879141330719,-0.22553353011608124
-0.3165965974330902,-0.2293732762336731
-0.2627622187137604,-0.2332424372434616
-0.24125847220420837,-0.19503715634346008
-0.2419806867837906,-0.18014833331108093
-0.2423417717218399,-0.18068642914295197
-0.2427028864622116,-0.18068642914295197
-0.24635188281536102,-0.18122534453868866
-0.2467184215784073,-0.1842239648103714
-0.2478179931640625,-0.18587109446525574
-0.24818451702594757,-0.18614643812179565
-0.2950763702392578,-0.18642176687717438
-0.2946406304836273,-0.2216479480266571
-0.29376915097236633,-0.22132059931755066
-0.29333341121673584,-0.22001312673091888
-0.33092692494392395,-0.21936087310314178
-0.33092692494392395,-0.2478456199169159
-0.3314177393913269,-0.2478456199169159
-0.33190858364105225,-0.24894969165325165
-0.3720311224460602,-0.27946481108665466
-0.373124897480011,-0.281942218542099
-0.373124897480011,-0.2827712595462799
-0.3736717700958252,-0.28318578004837036
-0.38925623893737793,-0.28401604294776917
-0.3903938829898834,-0.2967284321784973
-0.39210036396980286,-0.2988969087600708
-0.34205591678619385,-0.3010748624801636
-0.34304556250572205,-0.26340213418006897
-0.37187525629997253,-0.26416435837745667
-0.3724116384983063,-0.2867816090583801
-0.3724116384983063,-0.2871953248977661
-0.3729480504989624,-0.2876090407371521
-0.3729480504989624,-0.2880233824253082
-0.3574502468109131,-0.28843769431114197
-0.3579636216163635,-0.2764497697353363
-0.3579636216163635,-0.27724456787109375
-0.3589903712272644,-0.27803993225097656
-0.3600171208381653,-0.2796351909637451
-0.3705211281776428,-0.28163495659828186
-0.3726254999637604,-0.29232776165008545
-0.37420374155044556,-0.2943975329399109
-0.37578198313713074,-0.2968917489051819
-0.43392235040664673,-0.29814413189888
-0.4363417327404022,-0.3457276523113251
-0.43876105546951294,-0.3515332341194153
-0.44118040800094604,-0.35543227195739746
-0.4429948329925537,-0.3573925495147705
-0.4715675711631775,-0.36033889651298523
-0.42240166664123535,-0.38515692949295044
-0.4246774911880493,-0.3482770025730133
-0.4263843595981598,-0.3534558415412903
-0.4705367386341095,-0.35487669706344604
-0.473034530878067,-0.39372220635414124
-0.4761567711830139,-0.40054118633270264
-0.4786545932292938,-0.4031854271888733
-0.4836500585079193,-0.4074274003505707
-0.5393638610839844,-0.41382896900177
-0.5435143709182739,-0.47049495577812195
-0.5497400164604187,-0.47895699739456177
-0.5538904070854187,-0.48870500922203064
-0.5959321856498718,-0.4923953115940094
-0.5996295809745789,-0.533085823059082
-0.6025874018669128,-0.5423855781555176
-0.6092424988746643,-0.5450615882873535
-0.6583497524261475,-0.5571699142456055
-0.6615298390388489,-0.60793536901474
-0.6694796681404114,-0.6182371377944946
-0.6726595163345337,-0.6286178231239319
-0.7731040120124817,-0.6316041350364685
-0.7712302803993225,-0.7345139384269714
-0.7748317718505859,-0.732733428478241
-0.7793336510658264,-0.7438918352127075
-0.8587606549263,-0.7516725063323975
-0.8636736869812012,-0.7586202025413513
-0.8676038980484009,-0.8321008086204529
-0.8705514073371887,-0.8493283987045288
-0.8744814991950989,-0.8551096320152283
-0.9930347204208374,-0.8667261004447937
-0.9974545240402222,-0.8706212639808655
-0.9996643662452698,-0.9930347204208374
-1.002979040145874,-0.9974545240402222
-1.0051887035369873,-1.002979040145874
-1.0633149147033691,-1.002979040145874
-1.0633149147033691,-1.002979040145874
-1.0644819736480713,-1.0051887035369873
-1.0691498517990112,-1.0633149147033691
-1.3484917879104614,-1.0644819736480713
-1.3470228910446167,-1.3484917879104614
-1.3528982400894165,-1.3470228910446167
-1.3573042154312134,-1.3499605655670166
-1.5573174953460693,-1.3573042154312134
-1.5589995384216309,-1.5573174953460693
-1.562363624572754,-1.5589995384216309
-1.562363624572754,-1.5589995384216309
-1.5640455484390259,-1.562363624572754
